types_version;n_pollen;occurrences;plant_habitus;pollen_habitus;familly;Pollen_types_accepted;R_labels;E068;E069;E070;E071;E073;E074;W_386;W_385;W_388 ;Lac_Abhe;Awash;Melka_kontoure;Eth_HADAR01;Eth_HADAR02;Eth_HADAR03;Eth_HADAR04;Eth_HADAR05;Eth_HADAR06;Eth_HADAR07;E241;E242;E243;E244;E245;E246;E247;E248;E249;E250;E251;E252;E253;E254;E255;AML81-LS;AML81-LZ;AML81S33 ;AML81S36;AML81-VR;S136_3;S136_4;S136_5;S137_6;S257_4;E047;E048;E049;E050;E051;E052;E053;E054;E055;E003;E004;E005;E006;E007;E008;E009;E010;E011;E012;E013;E014;E015;E016;E017;E018;E019;E020;E021;E022;E023;E024;E025;E026;E268;E269;E270;E271;E272;E273;E274;E275;E276;E277;E278;E279;E280;E281;E282;E283;Omo_CR100_8;DW_16;DW_4;DW_1;DW_10;DW_14;DW_15;DW_18;DW_2;DW_2bis;DW_3;DW_5;DW_6;DW_7;DW_8;NG_1;NG_2;NG_3;NG_5;NG_6;NG_7;NG_8;NG_9;RB_1;RB_10;RB_11;RB_2;RB_4;RB_676;RB_7;DW_13;Awash_350;Awash_352;Awash_547_bis;Awash_574;Awash_575;Awash_582;Awash_A_Sued;Awash_A_Stat;Awash_C_L;Awash_G_604;Awash_G_80;Awash_Gba;Awash_Gomb;Awash_H_742;Awash_H_C74;Awash_H_C80;Awash_H_S4;Awash_H_V1;Awash_Hgf;Awash_K_80;Awash_L_A549;Awash_M_S;Awash_MK_G1;Awash_MK_G2;Awash_T_H;Awash_Tj;BB17-01;BB17-02;BB17-03;BB17-04;BB17-05;BB17-06;BB17-07;BB17-08;BB17-09;BB17-10;BB17-11;BB17-12;BB17-13;BB17-14;BB17-15;BB17-16;BB17-17;BB17-18;BB17-19;BB17-20;BB17-21;BB17-23;BB17-24;BB17-25;BB17-26;BB17-27;BB17-28;BB17-29;BB17-30;BB17-31;BB17-32;BB17-33;BB17-34;BB17-35;BB17-36;BB17-37;BB17-38;BB17-39;BB17-40;BB17-41;DB09-5;DB09-12;DB09-13;DB09-16;DB09-21;DB09-30;DB09-31;DB09-32;DB09-35;DB09-38;DB09-39;DB09-41;DB09-47;DB09-50;DB09-1;DB09-2;DB09-4;DB09-6;DB09-15;DB09-17;DB09-48;DB09-49;E200;E201;E202;E203;E204;E205;E206;E207;E208;E209;E213;E214;E228;E227;E229;E230;E231;E215;E223;E212;E217;E210;E224;E222;E226;E221;E232;E211;E233;E216;E220;E235;E219;E218;E234;E095;E094;E093;E085;Y96-40;Y96-03;Y96-08;Y96-138;Y96-139;Y96-140;RaK-01;RaK-02;RaK-03;RaK-04;Rak-08;RaK-05;RaK-07;RaK-06;FB_K3Sa;M_7a;M_104a;DB11-74;DB11-73;DB11-72;DB11-71;DB11-70;DB11-69;DB11-62;DB11-61;DB11-59B;DB11-59A;DB11-58;DB11-57;DB11-56;DB11-55;DB11-54
new;1;1;S;A;CAPRIFOLIACEAE;Caprifoliaceae undiff.;Caprifoliaceae;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;29;14;H(S);I;CARYOPHYLLACEAE;Caryophyllaceae undiff.;Caryophyllaceae;;;;;;;;;1;;;;;;;;;;;;5;2;7;3;;1;;;;2;;1;;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
old;54;11;H;N;CARYOPHYLLACEAE;Cerastium afromontanum-type;Cerastium_afromontanum;;;;;;;;;;;;;;;;;;;;13;1;;;;10;3;10;4;5;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;10;5;H;N;CARYOPHYLLACEAE;Cerastium-type octandrum;Cerastium_octandrum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;6;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;2;1;H;N;CARYOPHYLLACEAE;Drymaria cordata-type;Drymaria_cordata;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;8;4;H;N;CARYOPHYLLACEAE;Paronychia-type;Paronychia;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;1;1;H;N;CARYOPHYLLACEAE;Polycarpaea-type;Polycarpaea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
new;1;1;X;X;CARYOPHYLLACEAE;Scleranthus-type orientalis;Scleranthus_orientalis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;5;2;H(L);N;CARYOPHYLLACEAE;Stellaria mannii-type;Stellaria_mannii;;;;;;;;;;;;;;;;;;;;;;1;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;2;2;H;N;CARYOPHYLLACEAE;Uebelinia-type abyssinica;Uebelinia_abyssinica;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;14;3;STL;AL;CELASTRACEAE;Cassine;Cassine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;84;26;ST;A;CELASTRACEAE;Maytenus senegalensis-type;Maytenus_senegalensis;;;2;;;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;3;;;;10;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;14;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;;;;;;2;;;;;;;;;;;;;;2;3;4;;;1;2;;;;;;;;;;;;;;;;;;;;;5;1;1;1;1;;;;19;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;69;26;STL;AL;CELASTRACEAE/HIPPOCRATEACEAE;Celastraceae/Hippocrateaceae undiff.;Celastraceae/Hippocrateaceae;;;;;;;;16;1;;;;;;;;;;;;;;;;;8;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;1;2;;;;3;;;;;;;7;5;1;1;1;3;;;1;;;;;;;;;;;3;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;160;40;H(ST);I;CHENOPODIACEAE;Chenopodiaceae undiff.;Chenopodiaceae;1;1;;2;;2;;;;;;6;;1;;1;1;;58;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;1;;;2;;1;;2;2;3;;;15;6;1;;;2;3;2;;3;1;5;5;3;;1;1;;;;;2;;;;;;;1;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;6;;;;;4;;;;2;;;1;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;107;26;H;N;CHENOPODIACEAE;Chenopodium-type;Chenopodium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;1;;;;;;2;4;;1;;;4;;;;2;1;;;1;17;13;10;;;;5;3;;;3;2;3;;;2;2;;9;;5;3;2;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;535;72;S;A;CHENOPODIACEAE;Suaeda monoica-type;Suaeda_monoica;;;;;;;;;;9;;;;;3;;5;;206;;;;;;;;;;;;;;;;2;4;7;5;20;;;;;;;;;;;;;;;;;;;;1;;1;1;;;2;;;;;;;2;1;;1;;3;;;;;;;;;;;;;;;;;38;;;;;;;;;;1;;;;;;;;;;;;;;;;;2;1;;;1;;1;;5;;;4;4;1;2;;;;;3;2;3;1;8;9;;;;3;;4;2;4;1;6;5;5;;;4;2;;3;4;2;3;3;;8;4;;2;15;;;;2;;;3;4;1;4;4;2;30;10;8;4;;;;;;;;;;;4;;;;;9;4;;;;2;;;2;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
old;5;3;ST;A;CHRYSOBALANACEAE;Parinari-type;Parinari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;14;5;T;A;CLUSIACEAE;Garcinia gnetoides-type;Garcinia_gnetoides;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;5;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;1;1;T;A;CLUSIACEAE;Garcinia granulata-type;Garcinia_granulata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;1;1;ST;A;CLUSIACEAE;Garcinia volkensii-type;Garcinia_volkensii;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
old;6;1;T;A;CLUSIACEAE;Mammea africana-type;Mammea_africana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;0;0;T;A;CLUSIACEAE;Pentadesma;Pentadesma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;2;1;H;N;COLCHICACEAE;Gloriosa;Gloriosa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;1013;17;T;A;COMBRETACEAE;Anogeissus-type leiocarpa;Anogeissus_leiocarpa;;;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;17;;;;;;;;;;;;;;;;;;;255;260;177;217;31;2;12;3;;4;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;7;;;;;1;;
old;504;78;STL;AL;COMBRETACEAE;Combretaceae undiff.;Combretaceae;;;1;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;4;;;;1;1;2;;;1;2;2;3;5;23;2;1;;;1;;;2;6;;42;70;;;;1;;;;;1;8;1;2;;3;;;;;2;;;;;;1;3;3;1;;9;;;;;;;1;;6;2;14;9;1;5;;;;;;1;;;11;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;4;;2;;;;;;;;;;;;;1;;1;2;;1;37;41;35;9;10;;8;7;1;;;1;;3;16;2;3;2;2;;1;;1;;1;;1;;1;;;;;;;;;;;;;;;;;;;3;4;;2;3;;19;;;1;;;1;
old;114;29;SL;AL;COMBRETACEAE;Combretum-type aculeatum;Combretum_aculeatum;;;;;1;;;;;;;;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;1;10;;;;;;;;;;;;;;;;;;2;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;2;;;;;33;;;;;;;;;;;;;2;2;1;;;3;1;2;2;;3;;;;;7;1;;;8;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;
old;816;124;T(S);A;COMBRETACEAE;Combretum-type molle;Combretum_molle;;;;;;;;;;;;3;65;7;3;8;2;;;;;;;;;;;;;;;;;;2;;1;1;;;;;;;;;;;;;;3;1;;;;;;;1;;;;;25;14;7;;;1;;3;2;;;;3;5;5;;1;;1;;;;;;9;;;;4;14;6;1;;1;3;3;10;1;3;;;1;1;;;4;3;7;;3;;2;21;8;;;14;8;2;6;10;;5;5;;2;2;8;;11;7;;1;9;11;3;12;4;1;1;;22;;;5;;3;2;2;;1;;1;2;4;;;4;;;;;;4;2;;;3;;;;;;;;;;7;3;1;1;;6;132;;;;2;;17;;3;2;;6;7;3;4;;34;;;1;2;17;2;;5;3;1;;1;;;;2;2;3;1;3;3;12;8;7;23;13;;1;1;;1;;4;;;;;1;;;;;;1;;;2;;;;;;;;;;;;;;;;;;4;;1;;;2;4;7;;;;;1;3;
old;13;5;H;N;COMMELINACEAE;Commelinaceae undiff.;Commelinaceae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;59;31;H;N;COMMELINACEAE;Commelina-type benghalensis;Commelina_benghalensis;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;5;;;;;;2;;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;2;1;;;;;;;;;;1;2;;;;;;;;;1;;;1;;;;;;;1;1;;;2;3;3;;;;;;;;;;;;;;3;;;7;;;;;1;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;;;;1;;;;;;;;;;;;;;;;;2;1;;;;2;;;;;;1;
old;25;15;H;N;COMMELINACEAE;Commelina-type forskalaei;Commelina_forskalaei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;1;;;2;;;;;;2;;;;;;;;;;;;;1;;1;1;1;;;1;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
old;2;2;HSp(TL);I;CONVOLVULACEAE;Convolvulaceae undiff.;Convolvulaceae;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;9;9;H;N;CONVOLVULACEAE;Evolvulus-type;Evolvulus;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;81;4;S;A;CONVOLVULACEAE;Hildebrandtia-type obcordata;Hildebrandtia_obcordata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;21;13;HS(L);I;CONVOLVULACEAE;Ipomoea-type;Ipomoea;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;1;;2;;;;1;;;;;;;;;;;;;;;;;;;;4;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;
old;15;7;H(L);NL;CUCURBITACEAE;Coccinia grandis-type;Coccinia_grandis;;;;;;;;;;;;;;6;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;
old;4;3;H(L);NL;CUCURBITACEAE;Cucumis dipsaceus-type;Cucumis_dipsaceus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
