order;used_for_T_value;plant_habit;pollen_habit;familly;Vincens_et_al_pollen_types;R_labels;KMl1;KMk;KMj;Kmi;KMh;KMg;KMf;Kme;KMd2b;KMd2a;KMc;KMb;KMa
9;yes;H;N;ACANTHACEAE;Justicia anselliana-type;Justicia_anselliana;0;0;0;0;0;0;0;0;0;0;1;0;0
12;yes;H;N;ACANTHACEAE;Justicia-type flava;Justicia_flava;;;;;;;;;;;;;
13;yes;S;A;ACANTHACEAE;Justicia-type odora;Justicia_odora;;;;;;;;;;;;;
10;yes;X;X;ACANTHACEAE;Justicia striata-type;Justicia_striata;;;;;;;;;;;;;
153;yes;H(L);NL;CUCURBITACEAE;Kedrostis foetidissima-type;Kedrostis_foetidissima;;;;;;;;;;;;;
342;yes;SL;AL;RUBIACEAE;Keetia-type gueinzii;Keetia_gueinzii;;;;;;;;;;;;;
80;yes;T;A;BIGNONIACEAE;Kigelia-type;Kigelia;;;;;;;;;;;;;
343;yes;H;N;RUBIACEAE;Kohautia caespitosa-type;Kohautia_caespitosa;;;;;;;;;;;;;
227;yes;HS;I;LAMIACEAE;Lamiaceae undiff.;Lamiaceae;0;0;0;0;2;0;0;0;0;0;0;0;0
42;yes;ST;A;ANACARDIACEAE;Lannea-type;Lannea;;;;;;;;;;;;;
408;yes;H;N;VERBENACEAE;Lantana-type ukambensis;Lantana_ukambensis;;;;;;;;;;;;;
409;yes;S(L);AL;VERBENACEAE;Lantana-type viburnoides;Lantana_viburnoides;;;;;;;;;;;;;
217.1;no;;;HALORRHAGACEAE  ;Laurembergia tetrandra ;Laurembergia_tetrandra ;0;0;0;0;0;0;0;0;0;0;0;0;0
371;yes;ST;A;SAPINDACEAE;Lecaniodiscus/Aphania senegalensis;Lecaniodiscus/Aphania_senegalensis;;;;;;;;;;;;;
228;yes;H;N;LAMIACEAE;Leonotis-type;Leonotis;;;;;;;;;;;;;
229;yes;H;N;LAMIACEAE;Leucas-type;Leucas;;;;;;;;;;;;;
232;yes;HT;I;LILIACEAE;Liliaceae undiff.;Liliaceae;;;;;;;;;;;;;
22;yes;H(S);I;AIZOACEAE;Limeum;Limeum;;;;;;;;;;;;;
233;no;H;N;LINACEAE;Linum;Linum;;;;;;;;;;;;;
88;no;H;N;BORAGINACEAE;Lithospermum-type afromontanum;Lithospermum_afromontanum;;;;;;;;;;;;;
234;yes;HST;I;LOBELIACEAE;Lobelia;Lobelia;;;;;;;;;;;;;
235;yes;H;N;LOBELIACEAE;Lobelia anceps-type;Lobelia_anceps;;;;;;;;;;;;;
236;yes;H;N;LOBELIACEAE;Lobelia rhynchopetalum-type;Lobelia_rhynchopetalum;;;;;;;;;;;;;
285;no;T;A;OCHNACEAE;Lophira;Lophira;;;;;;;;;;;;;
240;yes;S(p);Ap;LORANTHACEAE;Loranthaceae undiff.;Loranthaceae;0;0;0;0;0;0;0;0;0;0;0;0;0
198;yes;H;N;FABACEAE;Lotus arabicus-type;Lotus_arabicus;;;;;;;;;;;;;
385;yes;HS;I;SOLANACEAE;Lycium-type;Lycium;;;;;;;;;;;;;
243;yes;HST;I;LYTHRACEAE;Lythraceae undiff.;Lythraceae;;;;;;;;;;;;;
244;yes;Ha;Nq;LYTHRACEAE;Lythrum;Lythrum;0;0;0;0;0;0;0;0;0;0;0;0;0
179;yes;ST;A;EUPHORBIACEAE;Macaranga-type;Macaranga;0;0;0;0;0;0;0;0;0;0;0;0;0
110;yes;ST;A;CAPPARIDACEAE;Maerua-type crassifolia;Maerua_crassifolia;0;0;0;0;0;0;0;0;0;0;0;0;0
278;yes;ST;A;MYRSINACEAE;Maesa lanceolata-type;Maesa_lanceolata;0;0;0;0;0;0;0;0;0;0;0;0;0
246;yes;L(ST);AL;MALPIGHIACEAE;Malpighiaceae undiff.;Malpighiaceae;;;;;;;;;;;;;
249;yes;H(ST);I;MALVACEAE;Malvaceae undiff.;Malvaceae;;;;;;;;;;;;;
135;yes;T;A;CLUSIACEAE;Mammea africana-type;Mammea_africana;;;;;;;;;;;;;
375;yes;T;A;SAPOTACEAE;Manilkara-type butugii;Manilkara_butugii;;;;;;;;;;;;;
81;yes;T;A;BIGNONIACEAE;Markhamia zanzibarica-type;Markhamia_zanzibarica;;;;;;;;;;;;;
123;yes;ST;A;CELASTRACEAE;Maytenus senegalensis-type;Maytenus_senegalensis;;;;;;;;;;;;;
14;yes;HS;I;ACANTHACEAE;Megalochlamis revoluta-type;Megalochlamis_revoluta;;;;;;;;;;;;;
252;no;H(STLep);I;MELASTOMATACEAE;Melastomataceae undiff.;Melastomataceae;;;;;;;;;;;;;
254;yes;T;A;MELIACEAE;Melia-type volkensii;Melia_volkensii;;;;;;;;;;;;;
15;yes;HS;I;ACANTHACEAE;Mellera-type lobulata;Mellera_lobulata;;;;;;;;;;;;;
258.2;no;;;MENISPERMACEAE;Menispermaceae;Menispermaceae;1;0;0;0;0;0;0;0;0;0;0;0;0
180;yes;H;N;EUPHORBIACEAE;Micrococca-type mercurialis;Micrococca_mercurialis;;;;;;;;;;;;;
271;yes;T;A;MORACEAE;Milicia-type excelsa;Milicia_excelsa;;;;;;;;;;;;;
199;yes;T;A;FABACEAE;Millettia-type ferruginea;Millettia_ferruginea;;;;;;;;;;;;;
265;yes;Sa;A;MIMOSACEAE;Mimosa pigra-type;Mimosa_pigra;;;;;;;;;;;;;
16;yes;HST;I;ACANTHACEAE;Mimulopsis-type solmsii;Mimulopsis solmsii;;;;;;;;;;;;;
376;yes;T;A;SAPOTACEAE;Mimusops-type kummel;Mimusops_kummel;0;0;0;0;1;0;0;0;0;0;0;0;0
154.1;no;HL;NL;CUCURBITACEAE;Momordica-type rostrata;Momordica_rostrata;;;;;;;;;;;;;
268;yes;H(S);I;MONOCOTYLEDONEAE;Monocotyledoneae undiff.;Monocotyledoneae;;;;;;;;;;;;;
272.1;yes;HST;I;MORACEAE;Moraceae undiff.;Moraceae;;;;;;;;;;;;;
274;yes;ST;A;MORINGACEAE;Moringa;Moringa;;;;;;;;;;;;;
275;no;X;X;MORINGACEAE;Moringaceae undiff.;Moringaceae;;;;;;;;;;;;;
272.2;no;ST;A;MORACEAE;Musanga/Myrianthus;Musanga/Myrianthus;;;;;;;;;;;;;
276;yes;ST;A;MYRICACEAE;Myrica;Myrica;40;18;13;1;2;0;1;2;2;0;3;0;0
279;yes;HST;I;MYRSINACEAE;Myrsinaceae undiff.;Myrsinaceae;0;0;0;0;0;0;0;0;0;0;0;0;0
280;yes;ST;A;MYRSINACEAE;Myrsine africana;Myrsine_africana;0;0;0;1;3;0;0;0;0;0;0;0;0
239;yes;ST;A;LOGANIACEAE/SALVADORACEAE;Nuxia/Dobera;Nuxia/Dobera;1;0;0;0;0;1;0;0;0;2;0;0;1
284;yes;HSTL;I;NYCTAGINACEAE;Nyctaginaceae undiff.;Nyctaginaceae;0;0;0;0;0;0;0;0;0;0;0;0;0
230;yes;H;N;LAMIACEAE;Ocimum-type basilicum;Ocimum_basilicum;0;0;0;0;0;0;0;0;0;0;0;0;0
231;yes;T(S);A;LAURACEAE;Ocotea;Ocotea;;;;;;;;;;;;;
344;yes;H;N;RUBIACEAE;Oldenlandia-type;Oldenlandia;;;;;;;;;;;;;
181;yes;ST;A;EUPHORBIACEAE;Oldfieldia-type;Oldfieldia;;;;;;;;;;;;;
289;yes;ST;A;OLEACEAE;Olea;Olea;;;;;;;;;;;;;
290;yes;ST;A;OLEACEAE;Olea capensis-type;Olea_capensis;1;8;3;3;0;0;0;0;0;0;1;0;0
291;yes;ST;A;OLEACEAE;Olea europaea-type;Olea_europaea;2;0;0;0;3;5;0;0;0;0;7;0;0
292;yes;STL;AL;OLEACEAE;Oleaceae undiff.;Oleaceae;;;;;;;;;;;;;
294;no;ST;A;OLINIACEAE;Olinia;Olinia;;;;;;;;;;;;;
295;yes;Ha;Nq;ONAGRACEAE;Onagraceae undiff.;Onagraceae;0;0;0;0;0;0;0;0;6;0;0;0;0
58;yes;SL;AL;APOCYNACEAE;Oncinotis-type nitida;Oncinotis_nitida;;;;;;;;;;;;;
200;yes;ST;A;FABACEAE;Ormocarpum-type trichocarpum;Ormocarpum_trichocarpum;;;;;;;;;;;;;
364;yes;ST;A;SANTALACEAE;Osyris;Osyris;;;;;;;;;;;;;
217.3;no;H;Nq;HYDROCHARITACEAE;Ottelia-type;Ottelia;0;0;0;0;0;0;0;0;0;0;0;0;0
297;no;H;N;OXALIDACEAE;Oxalis;Oxalis;;;;;;;;;;;;;
313;yes;H(S);I;POLYGONACEAE;Oxygonum;Oxygonum;;;;;;;;;;;;;
43;yes;ST;A;ANACARDIACEAE;Ozoroa-type insignis;Ozoroa_insignis;;;;;;;;;;;;;
372;yes;T;A;SAPINDACEAE;Pappea capensis;Pappea_capensis;;;;;;;;;;;;;
130;yes;ST;A;CHRYSOBALANACEAE;Parinari-type;Parinari;;;;;;;;;;;;;
97;yes;ST;A;CAESALPINIACEAE;Parkinsonia-type;Parkinsonia;;;;;;;;;;;;;
116;yes;H;N;CARYOPHYLLACEAE;Paronychia-type;Paronychia;;;;;;;;;;;;;
373;no;L;L;SAPINDACEAE;Paullinia pinnata;Paullinia_pinnata;;;;;;;;;;;;;
345;yes;ST(L);AL;RUBIACEAE;Pavetta abyssinica-type;Pavetta_abyssinica;;;;;;;;;;;;;
346;yes;ST;A;RUBIACEAE;Pavetta gardeniifolia-type;Pavetta_gardeniifolia;;;;;;;;;;;;;
136;no;T;A;CLUSIACEAE;Pentadesma;Pentadesma;;;;;;;;;;;;;
347;no;H;N;RUBIACEAE;Pentanisia-type;Pentanisia;;;;;;;;;;;;;
17;yes;H;N;ACANTHACEAE;Phaulopsis-type imbricata;Phaulopsis_imbricata;;;;;;;;;;;;;
301;yes;PA;PA;PALMAE;Phoenix reclinata-type;Phoenix_reclinata;;;;;;;;;;;;;
