"";"A.E-e";"Fa-w";"Fa-upper";"Fa-sc 2";"Fa-sc 1";"Fb/Wd-upper";"Fb/Wd-low/middle";"Wcd";"Bd-wgc";"Bd-rtf";"Bd-wb 3";"Bd-wb 2";"Bd-wb 1";"Bd-spring 1";"Bd-spring 2";"S-xs";"S-xds";"D";"Wcd/Fb/Wd-river";"We/Bd/S-river"
"Onagraceae";-0.228992259424809;-0.219562833105974;-0.199625954670811;-0.153402361135185;-0.264017951655542;-0.255607465552725;-0.153402361135185;-0.199625954670811;-0.177838101069842;-0.219562833105974;-0.310974369634324;-0.219562833105974;-0.209791158780948;-0.209791158780948;5.25007405312321;-0.153402361135185;-0.124760350179493;-0.166021918924212;-0.413059239484868;-0.346808477803124
"Borassus/Hyphaene";-0.228992259424809;-0.219562833105974;-0.199625954670811;-0.153402361135185;-0.264017951655542;-0.255607465552725;-0.153402361135185;-0.199625954670811;-0.177838101069842;-0.219562833105974;-0.310974369634324;-0.219562833105974;-0.209791158780948;-0.209791158780948;-0.189002665912436;-0.153402361135185;-0.124760350179493;-0.166021918924212;2.4022655770041;-0.346808477803124
"Borassus";-0.324473393873464;-0.311112252463542;-0.282862447752461;-0.217365359295387;-0.374103478573356;-0.36218613701447;-0.217365359295387;-0.282862447752461;-0.251989881051376;-0.311112252463542;-0.440638951623786;-0.311112252463542;-0.297266158538658;-0.297266158538658;-0.267809648298951;-0.217365359295387;-0.176780710165769;-0.235246796664812;3.4039197076522;-0.491414531213965
"Hyphaene";-1.20224431145079;-1.15273838413019;-1.0480667295207;-0.805385808678185;-0.541407844400198;-1.3419782057132;-0.805385808678185;-1.0480667295207;5.1118825210223;-1.15273838413019;1.30896973566406;-0.157540912497792;-1.10143560254219;4.08532478033831;8.14562168670953;-0.805385808678185;-0.65501087973305;-0.871640413104515;-2.16862404960867;-1.14710238681815
"Phoenix_reclinata";-2.01966687323273;5.72612640625176;-0.240623781733223;-0.379585712388784;-0.55475151779191;-1.64618734615926;-1.35297877683131;-0.240623781733223;2.66317756567514;-1.93650118013211;-2.74273302666417;-1.93650118013211;-1.85031692665627;-1.85031692665627;-0.867439970626814;-1.35297877683131;0.0871119798380181;-1.46428080461759;7.11683089827045;0.242153641622316
"Pterodiscus";-0.228992259424809;-0.219562833105974;-0.199625954670811;-0.153402361135185;3.75837319415536;-0.255607465552725;-0.153402361135185;-0.199625954670811;-0.177838101069842;-0.219562833105974;-0.310974369634324;-0.219562833105974;-0.209791158780948;-0.209791158780948;-0.189002665912436;-0.153402361135185;-0.124760350179493;-0.166021918924212;-0.413059239484868;-0.346808477803124
"Phytolacca";-0.398172534811362;5.11156468701682;-0.347110302265541;-0.266736557526742;-0.459075329927948;-0.4444511475256;-0.266736557526742;-0.347110302265541;-0.30922550686596;-0.381776615627812;-0.540723312349873;-0.381776615627812;-0.364785594424214;-0.364785594424214;-0.328638490931917;-0.266736557526742;-0.2169337295492;-0.288679488373736;0.913536679997086;-0.603031783903081
"Pinus";-0.324473393873464;-0.311112252463542;-0.282862447752461;-0.217365359295387;-0.374103478573356;-0.36218613701447;-0.217365359295387;-0.282862447752461;-0.251989881051376;-0.311112252463542;-0.440638951623786;-0.311112252463542;-0.297266158538658;-0.297266158538658;-0.267809648298951;9.1655726502888;-0.176780710165769;-0.235246796664812;-0.585289361496759;-0.491414531213965
"Pittosporum_abyssinicum";-0.324473393873464;-0.311112252463542;-0.282862447752461;-0.217365359295387;2.47568478467662;-0.36218613701447;-0.217365359295387;-0.282862447752461;-0.251989881051376;-0.311112252463542;-0.440638951623786;-0.311112252463542;-0.297266158538658;-0.297266158538658;-0.267809648298951;-0.217365359295387;-0.176780710165769;-0.235246796664812;1.40931517307772;-0.491414531213965
"Plantago";1.04459888252039;-1.21312921895139;-1.55822530532413;-0.847579182308161;-2.43273605049941;5.87419755824196;0.0270144759301405;-2.24110238498394;-1.99650087137148;-2.46492391101676;-3.49115626074581;-2.46492391101676;-1.05040388072772;-2.35522213064849;-2.12183994833321;0.0270144759301405;1.80021259842301;0.570117724652747;6.14610164351639;3.30943093955931
